Run ID,Transform Init,Transforms,Output Transform,Fold,Best Epoch,Test F1,Test Precision,Test Recall,Test Accuracy,TN,FP,FN,TP
gsh09944,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=(-45, 45))], p=0.5)",None,3,21,0.8045977011494252,0.875,0.7446808510638298,,161,5,12,35
apxlprxl,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=(-30, 30))], p=0.5)",None,3,12,0.8433734939759036,0.9722222222222222,0.7446808510638298,,165,1,12,35
tvtsn64z,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=(-15, 15))], p=0.5)",None,3,19,0.8192771084337349,0.9444444444444444,0.723404255319149,,164,2,13,34
djh92qoo,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, translate=(0.3, 0.3))], p=0.5)",None,3,22,0.5511811023622046,0.4375,0.7446808510638298,,121,45,12,35
bl9qs7w5,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, translate=(0.15, 0.15))], p=0.5)",None,3,12,0.8235294117647057,0.9210526315789472,0.7446808510638298,,163,3,12,35
4a5fv7j5,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, translate=(0.0, 0.15))], p=0.5)",None,3,14,0.5423728813559323,0.4507042253521127,0.6808510638297872,,127,39,15,32
iyk9z21s,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, translate=(0.15, 0.0))], p=0.5)",None,3,16,0.7123287671232876,1.0,0.5531914893617021,,166,0,21,26
y395497d,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))",None,None,3,4,0.53125,1.0,0.3617021276595745,,166,0,30,17
3n2amx4g,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomResizedCrop(size=(600, 400), scale=(1.0, 1.15), ratio=(3.0 / 2.0, 3.0 / 2.0), antialias=True)], p=0.5)",None,2,30,0.3125,1.0,0.18518518518518515,,144,0,22,5
8srxo0vm,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomResizedCrop(size=(600, 400), scale=(0.85, 1.0), ratio=(3.0 / 2.0, 3.0 / 2.0), antialias=True)], p=0.5)",None,2,26,0.07142857142857142,1.0,0.037037037037037035,,144,0,26,1
3t3ljxm8,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomResizedCrop(size=(600, 400), scale=(0.85, 1.15), ratio=(3.0 / 2.0, 3.0 / 2.0), antialias=True)], p=0.5)",None,2,39,0.07142857142857142,1.0,0.037037037037037035,,144,0,26,1
qcuubmfi,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomResizedCrop(size=(600, 400), scale=(0.7, 1.3), ratio=(3.0 / 2.0, 3.0 / 2.0), antialias=True)], p=0.5)",None,2,16,0.3125,1.0,0.18518518518518515,,144,0,22,5
k69atkep,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, scale=(0.7, 1.3))], p=0.5)",None,2,9,0.24242424242424243,0.6666666666666666,0.14814814814814814,,142,2,23,4
yen54gun,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, scale=(0.85, 1.15))], p=0.5)",None,2,12,0.34285714285714286,0.75,0.2222222222222222,,142,2,21,6
