Transforms,Test F1_mean,Test F1_max,Test F1_min
"CT.RandomSpeckleNoise(p=1.0, mean=0, std=0.05)",0.0642857142857143,0.3214285714285714,0.0
"CT.RandomSpeckleNoise(p=1.0, mean=0, std=0.1)",0.1192307692307692,0.5961538461538461,0.0
"CT.RandomSpeckleNoise(p=1.0, mean=0, std=0.5)",0.0313725490196078,0.1568627450980392,0.0
"CT.RandomSpeckleNoise(p=1.0, mean=0, std=0.8)",0.0070175438596491,0.0350877192982456,0.0
"MT.RandGaussianNoise(prob=0.5, mean=0, std=0.001)",0.1848081277213352,0.5760000000000001,0.0
"MT.RandGaussianNoise(prob=0.5, mean=0, std=0.005)",0.1515058207060476,0.4761904761904761,0.0
"MT.RandGaussianNoise(prob=0.5, mean=0, std=0.01)",0.2465273292186177,0.6422018348623854,0.0
"MT.RandGaussianNoise(prob=0.5, mean=0, std=0.05)",0.2386670205558367,0.4794520547945205,0.0451127819548872
"MT.RandGaussianNoise(prob=0.5, mean=0, std=0.1)",0.245031301178538,0.7446808510638298,0.0
"MT.RandGaussianNoise(prob=0.5, mean=0, std=0.5)",0.0108108108108108,0.054054054054054,0.0
"MT.RandGaussianSharpen(prob=0.5, alpha=(0.0, 2.0))",0.2291060534431913,0.7948717948717948,0.0
"MT.RandGaussianSharpen(prob=0.5, alpha=(1.0, 5.0))",0.2360252650575231,0.4895104895104895,0.0
"MT.RandGaussianSharpen(prob=0.5, alpha=(2.0, 2.0))",0.2543057503506311,0.608695652173913,0.0
"MT.RandShiftIntensity(prob=0.5, offsets=(-0.1, 0.1))",0.2779457269584046,0.7368421052631579,0.0
"MT.RandShiftIntensity(prob=0.5, offsets=(-0.1, 0.4))",0.1476109986095229,0.2909090909090909,0.0
"MT.RandShiftIntensity(prob=0.5, offsets=(0.05, 0.05))",0.1996331040233479,0.5691056910569106,0.0
"MT.RandShiftIntensity(prob=0.5, offsets=(0.1, 0.1))",0.2403834260977118,0.4897959183673469,0.0
"MT.RandShiftIntensity(prob=0.5, offsets=(0.1, 0.4))",0.3112743534054726,0.8395061728395062,0.0
"MT.RandSmoothFieldAdjustContrast(prob=0.5, spatial_size=(600, 400), rand_size=(2, 2))",0.3150868353344768,0.6603773584905661,0.0
"MT.RandSmoothFieldAdjustContrast(prob=0.5, spatial_size=(600, 400), rand_size=(2, 2), gamma=(0.5, 1.5))",0.2103421286425017,0.7466666666666666,0.0
"MT.RandSmoothFieldAdjustContrast(prob=0.5, spatial_size=(600, 400), rand_size=(3, 3))",0.2125657020145209,0.7792207792207793,0.0
"MT.RandSmoothFieldAdjustContrast(prob=0.5, spatial_size=(600, 400), rand_size=(3, 3), gamma=(0.5, 1.5))",0.1491264367816092,0.4166666666666666,0.0
"MT.RandSmoothFieldAdjustContrast(prob=0.5, spatial_size=(600, 400), rand_size=(5, 5))",0.195737593916429,0.4761904761904761,0.0
"MT.RandSmoothFieldAdjustContrast(prob=0.5, spatial_size=(600, 400), rand_size=(5, 5), gamma=(0.5, 1.5))",0.1907994695462726,0.5147058823529412,0.0
"T.RandomAdjustSharpness(sharpness_factor=1.5, p=0.5)",0.2693511763436218,0.8536585365853657,0.0
"T.RandomAdjustSharpness(sharpness_factor=2.0, p=0.5)",0.2025906120023767,0.7070707070707072,0.0
"T.RandomAdjustSharpness(sharpness_factor=2.5, p=0.5)",0.234141621129326,0.7777777777777778,0.0
"T.RandomAdjustSharpness(sharpness_factor=3.0, p=0.5)",0.2661194383709596,0.7792207792207793,0.0
"T.RandomApply([T.ColorJitter(brightness=0.1, contrast=0.1, saturation=0.1, hue=0.1)], p=0.5)",0.2820963926039356,0.8536585365853657,0.0
"T.RandomApply([T.ColorJitter(brightness=0.15, contrast=0.15)], p=0.5)",0.2510916307859115,0.7608695652173912,0.0
