Run ID,Transform Init,Transforms,Output Transform,Fold,Best Epoch,Test F1,Test Precision,Test Recall,Test Accuracy,TN,FP,FN,TP,sweep_type
npmpoip7,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.ColorJitter(contrast=0.5)], p=0.5)",,4,20,0.3235294117647059,0.3333333333333333,0.3142857142857143,,193,22,24,11,pixel-level
ynr0mss3,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.ColorJitter(contrast=0.3)], p=0.5)",,4,36,0.380952380952381,0.4285714285714285,0.3428571428571428,,199,16,23,12,pixel-level
veooqttr,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.ColorJitter(contrast=0.1)], p=0.5)",,4,37,0.5000000000000001,0.9230769230769232,0.3428571428571428,,214,1,23,12,pixel-level
snt2xm7s,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.ColorJitter(brightness=0.4, contrast=0.4)], p=0.5)",,4,12,0.2708333333333333,0.2131147540983606,0.3714285714285714,,167,48,22,13,pixel-level
b2knnuae,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.ColorJitter(brightness=0.15, contrast=0.15)], p=0.5)",,4,29,0.3773584905660377,0.5555555555555556,0.2857142857142857,,207,8,25,10,pixel-level
ot8ds3c0,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.ColorJitter(brightness=0.3)], p=0.5)",,4,21,0.2424242424242424,0.1875,0.3428571428571428,,163,52,23,12,pixel-level
rxai1vzq,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.ColorJitter(brightness=0.3, contrast=0.3)], p=0.5)",,4,36,0.1935483870967742,0.1551724137931034,0.2571428571428571,,166,49,26,9,pixel-level
2zvryesm,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.ColorJitter(brightness=0.3, contrast=0.3, saturation=0.3)], p=0.5)",,4,39,0.2857142857142857,0.380952380952381,0.2285714285714285,,202,13,27,8,pixel-level
kopxvw8n,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.ColorJitter(brightness=0.3, contrast=0.3, saturation=0.3, hue=0.3)], p=0.5)",,4,39,0.3103448275862069,0.391304347826087,0.2571428571428571,,201,14,26,9,pixel-level
gn7u89x0,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.ColorJitter(brightness=0.1, contrast=0.1, saturation=0.1, hue=0.1)], p=0.5)",,4,23,0.3389830508474576,0.4166666666666667,0.2857142857142857,,201,14,25,10,pixel-level
kvlh53uf,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","CT.RandomBrightnessByAdd(p=0.5, delta=(-0.35, 0.35))",,4,11,0.5306122448979592,0.9285714285714286,0.3714285714285714,,214,1,22,13,pixel-level
l9bqkxkk,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","CT.RandomBrightnessByAdd(p=0.5, delta=(-0.25, 0.25))",,4,12,0.3170731707317073,0.2765957446808511,0.3714285714285714,,181,34,22,13,pixel-level
ru89hgsm,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","CT.RandomBrightnessByAdd(p=0.5, delta=(-0.15, 0.15))",,4,39,0.44,0.7333333333333333,0.3142857142857143,,211,4,24,11,pixel-level
pwe38tyf,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","CT.RandomBrightnessByAdd(p=0.5, delta=(0.05, 0.15))",,4,38,0.4230769230769231,0.6470588235294118,0.3142857142857143,,209,6,24,11,pixel-level
k6ka44x0,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","CT.RandomBrightnessByAdd(p=0.5, delta=(0.25, 0.35))",,4,21,0.4814814814814815,0.6842105263157895,0.3714285714285714,,209,6,22,13,pixel-level
rf8pn0s3,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","CT.RandomBrightnessByAdd(p=0.5, delta=(0.15, 0.25))",,4,32,0.4210526315789473,0.5454545454545454,0.3428571428571428,,205,10,23,12,pixel-level
3nq2s08t,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","CT.RandomBrightnessByAdd(p=1.0, delta=(0.005, 0.015))",,4,30,0.456140350877193,0.5909090909090909,0.3714285714285714,,206,9,22,13,pixel-level
tjz6p0wq,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","CT.RandomSpeckleNoise(p=1.0, mean=0, std=0.8)",,4,8,0.0350877192982456,0.0454545454545454,0.0285714285714285,,194,21,34,1,pixel-level
rl9utbma,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","CT.RandomSpeckleNoise(p=1.0, mean=0, std=0.05)",,4,0,0.0,0.0,0.0,,215,0,35,0,pixel-level
t7iowr5d,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","CT.RandomSpeckleNoise(p=1.0, mean=0, std=0.1)",,4,12,0.0,0.0,0.0,,215,0,35,0,pixel-level
qsot0d4r,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","CT.RandomSpeckleNoise(p=1.0, mean=0, std=0.5)",,4,2,0.0,0.0,0.0,,215,0,35,0,pixel-level
3i952vfu,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","CT.RandomNoiseWithFV(p=0.5, fv=(1.0, 1.5))",,4,39,0.2153846153846154,0.2333333333333333,0.2,,192,23,28,7,pixel-level
on2dezam,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","CT.RandomNoiseWithFV(p=0.5, fv=(0.5, 1.5))",,4,9,0.2061855670103092,0.1612903225806451,0.2857142857142857,,163,52,25,10,pixel-level
paan8myr,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","CT.RandomNoiseWithFV(p=0.5, fv=(0.1, 1.0))",,4,17,0.2474226804123711,0.1935483870967742,0.3428571428571428,,165,50,23,12,pixel-level
ni06tue8,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","CT.RandomNoiseWithFV(p=0.5, fv=(0.5, 1.0))",,4,27,0.2197802197802197,0.1785714285714285,0.2857142857142857,,169,46,25,10,pixel-level
hdl58pqk,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","CT.RandomNoiseWithFV(p=0.5, fv=(0.5, 0.5))",,4,39,0.086021505376344,0.0689655172413793,0.1142857142857142,,161,54,31,4,pixel-level
jpk8z9c2,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","CT.RandomNoiseWithFV(p=0.5, fv=(0.1, 0.5))",,4,39,0.0579710144927536,0.0588235294117647,0.0571428571428571,,183,32,33,2,pixel-level
v2c9txhc,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","CT.RandomNoiseWithFV(p=0.5, fv=(0.1, 0.1))",,4,32,0.2272727272727273,0.1886792452830188,0.2857142857142857,,172,43,25,10,pixel-level
ugzu46nj,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","CT.RandomNoise(p=0.5, mean=0, std=0.5)",,4,33,0.1298701298701298,0.0840336134453781,0.2857142857142857,,106,109,25,10,pixel-level
m7dzaa4v,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","CT.RandomNoise(p=0.5, mean=0, std=0.1)",,4,26,0.1923076923076923,0.144927536231884,0.2857142857142857,,156,59,25,10,pixel-level
thbjy1py,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","CT.RandomNoise(p=0.5, mean=0, std=0.05)",,4,33,0.1666666666666666,0.1074380165289256,0.3714285714285714,,107,108,22,13,pixel-level
j2x2c43q,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","CT.RandomNoise(p=0.5, mean=0, std=0.01)",,4,33,0.393939393939394,0.4193548387096774,0.3714285714285714,,197,18,22,13,pixel-level
26zl4xpu,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","MT.RandGaussianNoise(prob=0.5, mean=0, std=0.5)",,4,20,0.0,0.0,0.0,,189,26,35,0,pixel-level
0ok9f1lt,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","MT.RandGaussianNoise(prob=0.5, mean=0, std=0.1)",,4,36,0.4489795918367346,0.7857142857142857,0.3142857142857143,,212,3,24,11,pixel-level
7bup89xx,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","MT.RandGaussianNoise(prob=0.5, mean=0, std=0.05)",,4,12,0.3913043478260868,0.8181818181818182,0.2571428571428571,,213,2,26,9,pixel-level
y94h9cn4,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","MT.RandGaussianNoise(prob=0.5, mean=0, std=0.01)",,4,39,0.1707317073170731,0.1489361702127659,0.2,,175,40,28,7,pixel-level
vcd6gj3f,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","MT.RandGaussianNoise(prob=0.5, mean=0, std=0.005)",,4,39,0.2325581395348837,0.196078431372549,0.2857142857142857,,174,41,25,10,pixel-level
kieqcpp5,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","MT.RandGaussianNoise(prob=0.5, mean=0, std=0.001)",,4,24,0.3018867924528302,0.4444444444444444,0.2285714285714285,,205,10,27,8,pixel-level
ngdhb09l,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","CT.RandomSaltAndPepperNoise(p=0.5, density=(0.01, 0.03))",,4,25,0.0439560439560439,0.0357142857142857,0.0571428571428571,,161,54,33,2,pixel-level
w6ta0iz3,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","CT.RandomSaltAndPepperNoise(p=0.5, density=(0.01, 0.01))",,4,10,0.2391304347826087,0.1929824561403508,0.3142857142857143,,169,46,24,11,pixel-level
8nqukw37,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","CT.RandomSaltAndPepperNoise(p=0.5, density=(0.005, 0.01))",,4,38,0.1568627450980392,0.25,0.1142857142857142,,203,12,31,4,pixel-level
jc0d4tup,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","CT.RandomSaltAndPepperNoise(p=0.5, density=(0.001, 0.001))",,4,12,0.1702127659574468,0.3333333333333333,0.1142857142857142,,207,8,31,4,pixel-level
vtl1pd82,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))",None,,4,39,0.2903225806451613,0.3333333333333333,0.2571428571428571,,197,18,26,9,pixel-level
mom7g4ba,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","MT.RandShiftIntensity(prob=0.5, offsets=(-0.1, 0.4))",,3,13,0.2909090909090909,1.0,0.1702127659574468,,166,0,39,8,pixel-level
5izskndf,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","MT.RandShiftIntensity(prob=0.5, offsets=(0.1, 0.4))",,3,11,0.8395061728395062,1.0,0.723404255319149,,166,0,13,34,pixel-level
9jx652ub,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","MT.RandShiftIntensity(prob=0.5, offsets=(-0.1, 0.1))",,3,35,0.7368421052631579,0.7291666666666666,0.7446808510638298,,153,13,12,35,pixel-level
m8j6lwy0,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","MT.RandShiftIntensity(prob=0.5, offsets=(0.05, 0.05))",,3,10,0.5691056910569106,0.4605263157894737,0.7446808510638298,,125,41,12,35,pixel-level
fpap4dq2,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","MT.RandShiftIntensity(prob=0.5, offsets=(0.1, 0.1))",,3,19,0.4666666666666667,0.3398058252427184,0.7446808510638298,,98,68,12,35,pixel-level
fdkcwmrb,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomAdjustSharpness(sharpness_factor=3.0, p=0.5)",,3,10,0.7792207792207793,1.0,0.6382978723404256,,166,0,17,30,pixel-level
asvpcncg,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomAdjustSharpness(sharpness_factor=2.5, p=0.5)",,3,18,0.7777777777777778,0.813953488372093,0.7446808510638298,,158,8,12,35,pixel-level
thqp3kdt,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomAdjustSharpness(sharpness_factor=1.5, p=0.5)",,3,12,0.8536585365853657,1.0,0.7446808510638298,,166,0,12,35,pixel-level
hpplt9tg,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomAdjustSharpness(sharpness_factor=2.0, p=0.5)",,3,18,0.7070707070707072,0.6730769230769231,0.7446808510638298,,149,17,12,35,pixel-level
y9ghh1h1,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","MT.RandGaussianSharpen(prob=0.5, alpha=(1.0, 5.0))",,3,24,0.4895104895104895,0.3645833333333333,0.7446808510638298,,105,61,12,35,pixel-level
2s1f0101,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","MT.RandGaussianSharpen(prob=0.5, alpha=(0.0, 2.0))",,3,14,0.7948717948717948,1.0,0.6595744680851063,,166,0,16,31,pixel-level
i7f8qlwd,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","MT.RandGaussianSharpen(prob=0.5, alpha=(2.0, 2.0))",,3,13,0.608695652173913,0.5147058823529411,0.7446808510638298,,133,33,12,35,pixel-level
s16j3kd2,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.GaussianBlur(kernel_size=3, sigma=(0.1, 1.5))], p=0.25)",,3,15,0.6666666666666665,0.603448275862069,0.7446808510638298,,143,23,12,35,pixel-level
17z3dyu8,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.GaussianBlur(kernel_size=5, sigma=(1.5, 2.0))], p=0.5)",,3,0,0.0416666666666666,1.0,0.0212765957446808,,166,0,46,1,pixel-level
v40pas40,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.GaussianBlur(kernel_size=3, sigma=(1.5, 2.0))], p=0.5)",,3,6,0.6363636363636364,0.5555555555555556,0.7446808510638298,,138,28,12,35,pixel-level
hk6h1j5v,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.GaussianBlur(kernel_size=5, sigma=(0.5, 1.0))], p=0.5)",,3,24,0.8536585365853657,1.0,0.7446808510638298,,166,0,12,35,pixel-level
i8o12rom,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.GaussianBlur(kernel_size=3, sigma=(0.5, 1.0))], p=0.5)",,3,31,0.6862745098039216,0.6363636363636364,0.7446808510638298,,146,20,12,35,pixel-level
6n0wcdib,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.GaussianBlur(kernel_size=5, sigma=(0.1, 0.5))], p=0.5)",,3,18,0.8536585365853657,1.0,0.7446808510638298,,166,0,12,35,pixel-level
ju78t68z,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.GaussianBlur(kernel_size=3, sigma=(0.1, 0.5))], p=0.5)",,3,17,0.4046242774566474,0.2777777777777778,0.7446808510638298,,75,91,12,35,pixel-level
8c0s1y0v,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.GaussianBlur(kernel_size=5, sigma=(0.1, 2.0))], p=0.5)",,3,19,0.0,0.0,0.0,,166,0,47,0,pixel-level
