Transforms,Test F1_mean,Test F1_max,Test F1_min,Test Precision_mean,Test Precision_max,Test Precision_min,Test Recall_mean,Test Recall_max,Test Recall_min,Test Accuracy_mean,Test Accuracy_max,Test Accuracy_min,sweep_type,average_metric
"CT.RandomNoise(p=0.5, mean=0, std=0.1)",0.2077256077256077,0.7142857142857144,0.0,0.3745737425404944,1.0,0.0,0.2357086569852527,0.7446808510638298,0.0,,,,pixel-level,0.3895770895770896
"CT.RandomNoise(p=0.5, mean=0, std=0.5)",0.1445797952047952,0.546875,0.0,0.1090517184939419,0.4320987654320987,0.0,0.2283012495778453,0.7446808510638298,0.0,,,,pixel-level,0.29103989760239757
"CT.RandomNoiseWithFV(p=0.5, fv=(0.1, 0.1))",0.1866310160427807,0.6666666666666665,0.0,0.1637588375623508,0.603448275862069,0.0,0.2208938421704379,0.7446808510638298,0.0,,,,pixel-level,0.35998217468805693
"CT.RandomNoiseWithFV(p=0.5, fv=(0.1, 0.5))",0.1453530436782643,0.564516129032258,0.0,0.1369595110771581,0.4545454545454546,0.0,0.189994371270967,0.7446808510638298,0.0,,,,pixel-level,0.29848297345203534
"CT.RandomNoiseWithFV(p=0.5, fv=(0.1, 1.0))",0.1461971553825802,0.4347826086956521,0.0,0.1063631861912846,0.3070175438596491,0.0,0.2397298210064167,0.7446808510638298,0.0,,,,pixel-level,0.24701162116955097
"CT.RandomNoiseWithFV(p=0.5, fv=(0.5, 0.5))",0.1649185867895545,0.56,0.0,0.3242263483642794,1.0,0.0,0.2014229426995384,0.7446808510638298,0.0,,,,pixel-level,0.3064592933947773
"CT.RandomNoiseWithFV(p=0.5, fv=(0.5, 1.0))",0.2208125024045422,0.8395061728395062,0.0,0.2413217623497997,1.0,0.0,0.2240459304289091,0.723404255319149,0.0,,,,pixel-level,0.44620872033807363
"CT.RandomNoiseWithFV(p=0.5, fv=(0.5, 1.5))",0.0914633577459532,0.2061855670103092,0.0,0.240258064516129,1.0,0.0,0.1006416751097602,0.2857142857142857,0.0,,,,pixel-level,0.1282059056771003
"CT.RandomNoiseWithFV(p=0.5, fv=(1.0, 1.5))",0.2194332908667574,0.8235294117647057,0.0,0.2387719298245613,0.9210526315789472,0.0,0.2111583924349881,0.7446808510638298,0.0,,,,pixel-level,0.43912841013926096
"CT.RandomSaltAndPepperNoise(p=0.5, density=(0.001, 0.001))",0.1280573219439184,0.4216867469879518,0.0,0.1316757630887406,0.3333333333333333,0.0,0.194015535292131,0.7446808510638298,0.0,,,,pixel-level,0.2327033597671399
