Transforms,Test F1_mean,Test F1_max,Test F1_min,Test F1_std,Test Precision_mean,Test Precision_max,Test Precision_min,Test Precision_std,Test Recall_mean,Test Recall_max,Test Recall_min,Test Recall_std,Test Accuracy_mean,Test Accuracy_max,Test Accuracy_min,Test Accuracy_std
"CT.RandomNoiseWithFV(p=0.5, fv=(0.5, 0.5))",0.16491858678955457,0.56,0.0,0.2244942263717235,0.32422634836427944,1.0,0.0,0.4156897764501414,0.20142294269953842,0.7446808510638298,0.0,0.30760047396219437,,,,
"CT.RandomNoiseWithFV(p=0.5, fv=(0.5, 1.0))",0.2208125024045422,0.8395061728395062,0.0,0.35752204618047234,0.2413217623497997,1.0,0.0,0.43054990565537826,0.22404593042890916,0.723404255319149,0.0,0.30261739621948563,,,,
"CT.RandomNoiseWithFV(p=0.5, fv=(0.5, 1.5))",0.09146335774595325,0.20618556701030927,0.0,0.10139922968852919,0.24025806451612905,1.0,0.0,0.429824057124827,0.10064167510976021,0.2857142857142857,0.0,0.1168887680565821,,,,
"CT.RandomNoiseWithFV(p=0.5, fv=(1.0, 1.5))",0.21943329086675742,0.8235294117647057,0.0,0.34900921340120367,0.23877192982456136,0.9210526315789472,0.0,0.3934718522230574,0.21115839243498816,0.7446808510638298,0.0,0.30982088191197393,,,,
"CT.RandomSaltAndPepperNoise(p=0.5, density=(0.001, 0.001))",0.12805732194391845,0.42168674698795183,0.0,0.17828349678052002,0.13167576308874065,0.3333333333333333,0.0,0.16724256297253898,0.19401553529213103,0.7446808510638298,0.0,0.3129482120774261,,,,
"CT.RandomSaltAndPepperNoise(p=0.5, density=(0.005, 0.01))",0.3037648948736121,0.8433734939759036,0.0,0.35294351585989103,0.3505668934240363,0.9722222222222222,0.0,0.40130020716899417,0.2829044241810199,0.7446808510638298,0.0,0.30712895155571457,,,,
"CT.RandomSaltAndPepperNoise(p=0.5, density=(0.01, 0.01))",0.1695652173913043,0.608695652173913,0.0,0.266426325214844,0.1415376676986584,0.5147058823529411,0.0,0.22472194864921563,0.21179331306990878,0.7446808510638298,0.0,0.3275068865075929,,,,
"CT.RandomSaltAndPepperNoise(p=0.5, density=(0.01, 0.03))",0.10401037397585153,0.4430379746835443,0.0,0.1905366190969364,0.07446123935485637,0.3153153153153153,0.0,0.13548945620569047,0.17517955645615219,0.7446808510638298,0.0,0.3201025068289294,,,,
"CT.RandomSpeckleNoise(p=1.0, mean=0, std=0.05)",0.0642857142857143,0.32142857142857145,0.0,0.1437472271249865,0.2,1.0,0.0,0.447213595499958,0.03829787234042554,0.1914893617021277,0.0,0.08563664594680047,,,,
"CT.RandomSpeckleNoise(p=1.0, mean=0, std=0.1)",0.11923076923076922,0.5961538461538461,0.0,0.2666081050095903,0.10877192982456141,0.543859649122807,0.0,0.2432214291315561,0.13191489361702127,0.6595744680851063,0.0,0.2949706693723127,,,,
"CT.RandomSpeckleNoise(p=1.0, mean=0, std=0.5)",0.03137254901960784,0.1568627450980392,0.0,0.07015115223528752,0.2,1.0,0.0,0.447213595499958,0.01702127659574468,0.0851063829787234,0.0,0.038060731531911314,,,,
"CT.RandomSpeckleNoise(p=1.0, mean=0, std=0.8)",0.007017543859649122,0.03508771929824561,0.0,0.01569170510526168,0.00909090909090909,0.045454545454545456,0.0,0.020327890704543543,0.005714285714285714,0.02857142857142857,0.0,0.012777531299998798,,,,
"MT.RandGaussianNoise(prob=0.5, mean=0, std=0.001)",0.18480812772133529,0.5760000000000001,0.0,0.25212675017385816,0.1870218239150278,0.4615384615384616,0.0,0.24316205444750363,0.22112799729821003,0.7659574468085106,0.0,0.31890179967638776,,,,
"MT.RandGaussianNoise(prob=0.5, mean=0, std=0.005)",0.1515058207060476,0.47619047619047616,0.0,0.20521338000350728,0.11546568627450982,0.35,0.0,0.15432246289450363,0.2283012495778453,0.7446808510638298,0.0,0.31141636085018554,,,,
"MT.RandGaussianNoise(prob=0.5, mean=0, std=0.01)",0.24652732921861778,0.6422018348623854,0.0,0.2627060206445358,0.27662985378839877,0.6363636363636364,0.0,0.3017904287321411,0.26301024428684,0.7446808510638298,0.0,0.2864605860611713,,,,
"MT.RandGaussianNoise(prob=0.5, mean=0, std=0.05)",0.2386670205558367,0.4794520547945205,0.045112781954887216,0.18622147373053738,0.4561328439599894,1.0,0.02830188679245283,0.43629907057633294,0.34085005454044337,0.7446808510638298,0.07407407407407407,0.28510941428369685,,,,
"MT.RandGaussianNoise(prob=0.5, mean=0, std=0.1)",0.24503130117853805,0.7446808510638298,0.0,0.3379802335288254,0.3100790273556231,0.7857142857142857,0.0,0.41579787538166113,0.22660812788472362,0.7446808510638298,0.0,0.3170393628865612,,,,
"MT.RandGaussianNoise(prob=0.5, mean=0, std=0.5)",0.010810810810810811,0.05405405405405406,0.0,0.024173707864862594,0.007142857142857143,0.03571428571428571,0.0,0.015971914124998498,0.02222222222222222,0.1111111111111111,0.0,0.04969039949999532,,,,
