Transforms,Test F1_mean,Test F1_max,Test F1_min,Test F1_std,Test Precision_mean,Test Precision_max,Test Precision_min,Test Precision_std,Test Recall_mean,Test Recall_max,Test Recall_min,Test Recall_std,Test Accuracy_mean,Test Accuracy_max,Test Accuracy_min,Test Accuracy_std
"MT.RandGridDistortion(num_cells=7, prob=0.5, distort_limit=(-0.09, 0.09))",0.2520167201322057,0.8395061728395062,0.0,0.3408879069233936,0.41933333333333334,1.0,0.0,0.42606989515284405,0.21600360238658114,0.723404255319149,0.0,0.2903645716845761,,,,
"MT.RandGridDistortion(num_cells=7, prob=0.5, distort_limit=(-0.1, 0.1))",0.1428805633294213,0.32727272727272727,0.0,0.1293816814253524,0.3703222094361335,1.0,0.0,0.40326194574391416,0.1160463807272318,0.2571428571428571,0.0,0.09638001754845,,,,
"MT.RandGridDistortion(num_cells=7, prob=0.5, distort_limit=(-0.3, 0.3))",0.17913429522752497,0.6603773584905661,0.0,0.2802443517103639,0.1498912292099992,0.5932203389830508,0.0,0.2534255230051129,0.24544410672070244,0.7446808510638298,0.0,0.3176634953088516,,,,
"MT.RandGridDistortion(num_cells=7, prob=0.5, distort_limit=(-0.5, 0.5))",0.14761630480481455,0.4794520547945205,0.0,0.2023890765783658,0.10550484402498092,0.35353535353535354,0.0,0.1494785185276595,0.2523406584448404,0.7446808510638298,0.0,0.3113135291579775,,,,
"MT.RandGridDistortion(num_cells=9, prob=0.5, distort_limit=(-0.03, 0.03))",0.2670043016207392,0.825,0.0,0.36093142507686204,0.3169649122807018,1.0,0.0,0.44501183408031936,0.250726571871106,0.7021276595744681,0.0,0.28884480538107393,,,,
"MT.RandGridDistortion(num_cells=9, prob=0.5, distort_limit=(-0.09, 0.09))",0.2743538912126657,0.4794520547945205,0.0,0.23293295301057926,0.47722880983750554,1.0,0.0,0.4968183492326178,0.2784599797365755,0.7446808510638298,0.0,0.2860741484442843,,,,
"MT.RandGridDistortion(num_cells=9, prob=0.5, distort_limit=(-0.1, 0.1))",0.18689229997395052,0.6153846153846153,0.0,0.2639948818294999,0.14574251835121402,0.5142857142857142,0.0,0.21932086421120717,0.2782708544410672,0.7659574468085106,0.0,0.34509163387979913,,,,
"MT.RandGridDistortion(num_cells=9, prob=0.5, distort_limit=(-0.3, 0.3))",0.2687645823773968,0.5343511450381679,0.03278688524590164,0.22269711326732564,0.32717689226228125,0.8888888888888888,0.021505376344086023,0.35175760921882343,0.293946204877973,0.7446808510638298,0.06896551724137931,0.2748613616028828,,,,
"MT.RandGridDistortion(num_cells=9, prob=0.5, distort_limit=(-0.5, 0.5))",0.25256413798245575,0.8536585365853657,0.0,0.35867330829557154,0.2596527498996387,1.0,0.0,0.4235830758924756,0.2814229426995384,0.7446808510638298,0.0,0.3304400186100373,,,,
None,0.1497326565143824,0.3553299492385787,0.0,0.17949313482883675,0.13488584474885845,0.4,0.0,0.17689146466481098,0.2283012495778453,0.7446808510638298,0.0,0.31141636085018554,,,,
